global_lap_num,session,session_lap_num,sponsor_regime,class_name,class_index,s1_time_ms,s1_time_seconds,incident,delta_1_seconds,delta_2_seconds,delta_gap_seconds,mean_delta_seconds,has_delta_data,split
60,7,4,old_sponsor,optimal_laps,0,27738,27.738,none,1.0230348110198975,2.783273696899414,1.7602388858795166,1.9031542539596558,True,test
61,7,5,old_sponsor,sub_standard_laps,2,28742,28.742,none,1.6941251754760742,2.6140244007110596,0.9198992252349854,2.154074788093567,True,test
62,7,6,old_sponsor,standard_laps,1,28268,28.268,none,1.1517844200134277,3.0224781036376953,1.8706936836242676,2.0871312618255615,True,test
63,7,7,old_sponsor,standard_laps,1,28287,28.287,none,1.1383581161499023,2.626997232437134,1.4886391162872314,1.882677674293518,True,test
65,7,9,old_sponsor,sub_standard_laps,2,29667,29.667,none,2.2132835388183594,2.3482329845428467,0.1349494457244873,2.280758261680603,True,test
67,7,11,old_sponsor,sub_standard_laps,2,28902,28.902,none,1.325571060180664,2.9569568634033203,1.6313858032226562,2.141263961791992,True,test
70,8,3,old_sponsor,sub_standard_laps,2,28933,28.933,none,1.1870827674865723,2.9202165603637695,1.7331337928771973,2.053649663925171,True,test
71,8,4,old_sponsor,standard_laps,1,28536,28.536,none,1.6241118907928467,2.529339075088501,0.9052271842956543,2.076725482940674,True,test
73,8,6,old_sponsor,standard_laps,1,28223,28.223,none,1.184779167175293,2.9491653442382812,1.7643861770629883,2.066972255706787,True,test
74,8,7,old_sponsor,standard_laps,1,28489,28.489,none,1.6503453254699707,2.992475986480713,1.3421306610107422,2.321410655975342,True,test
75,8,8,old_sponsor,standard_laps,1,28408,28.408,none,1.7128939628601074,2.634553909301758,0.9216599464416504,2.1737239360809326,True,test
77,8,10,old_sponsor,standard_laps,1,28191,28.191,none,1.1617155075073242,2.3542098999023438,1.1924943923950195,1.757962703704834,True,test
79,9,2,old_sponsor,sub_standard_laps,2,29531,29.531,none,2.0936031341552734,3.348637580871582,1.2550344467163086,2.7211203575134277,True,train
81,9,4,old_sponsor,standard_laps,1,28321,28.321,none,1.513024091720581,2.229769706726074,0.7167456150054932,1.8713968992233276,True,train
83,9,6,old_sponsor,optimal_laps,0,28101,28.101,none,1.0171310901641846,2.598050355911255,1.5809192657470703,1.8075907230377197,True,train
85,10,1,old_sponsor,sub_standard_laps,2,29750,29.75,none,1.6160471439361572,3.0100529193878174,1.3940057754516602,2.3130500316619873,True,train
87,10,3,old_sponsor,standard_laps,1,28171,28.171,none,1.0975801944732666,2.7350897789001465,1.6375095844268799,1.9163349866867065,True,train
88,10,4,old_sponsor,standard_laps,1,28246,28.246,none,1.2195510864257812,2.0437419414520264,0.8241908550262451,1.6316465139389038,True,train
89,10,5,old_sponsor,sub_standard_laps,2,28999,28.999,none,1.5193328857421875,3.0356717109680176,1.51633882522583,2.2775022983551025,True,train
90,10,6,old_sponsor,standard_laps,1,28177,28.177,none,1.114410638809204,2.5244994163513184,1.4100887775421143,1.8194550275802612,True,train
91,10,7,old_sponsor,optimal_laps,0,27789,27.789,none,1.1045451164245605,2.683706045150757,1.5791609287261963,1.8941255807876587,True,train
92,10,8,old_sponsor,standard_laps,1,28169,28.169,none,1.114415168762207,2.3730225563049316,1.2586073875427246,1.7437188625335693,True,train
93,10,9,old_sponsor,standard_laps,1,28245,28.245,none,1.0357439517974854,2.585441827774048,1.5496978759765625,1.8105928897857666,True,train
96,10,12,old_sponsor,optimal_laps,0,28053,28.053,none,1.030689001083374,2.7161760330200195,1.6854870319366455,1.8734325170516968,True,train
97,10,13,old_sponsor,standard_laps,1,28439,28.439,none,1.5264620780944824,1.9940736293792725,0.46761155128479004,1.7602678537368774,True,train
98,10,14,old_sponsor,standard_laps,1,28401,28.401,none,1.6163814067840576,2.246284008026123,0.6299026012420654,1.9313327074050903,True,train
99,11,1,old_sponsor,standard_laps,1,28407,28.407,none,1.0614550113677979,2.881826162338257,1.820371150970459,1.9716405868530273,True,validation
100,11,2,old_sponsor,sub_standard_laps,2,28687,28.687,none,1.7636568546295166,2.6742584705352783,0.9106016159057617,2.2189576625823975,True,validation
102,11,4,old_sponsor,standard_laps,1,28105,28.105,none,1.5302379131317139,2.532409429550171,1.002171516418457,2.0313236713409424,True,validation
104,11,6,old_sponsor,sub_standard_laps,2,28625,28.625,none,1.137732744216919,2.716409683227539,1.5786769390106201,1.927071213722229,True,validation
105,12,1,old_sponsor,standard_laps,1,28282,28.282,none,1.4306564331054688,2.541292428970337,1.1106359958648682,1.9859744310379028,True,train
107,12,3,old_sponsor,standard_laps,1,28336,28.336,none,1.378577470779419,2.3861327171325684,1.0075552463531494,1.8823550939559937,True,train
108,12,4,old_sponsor,standard_laps,1,28228,28.228,none,1.0863780975341797,2.395291328430176,1.308913230895996,1.7408347129821777,True,train
109,12,5,old_sponsor,sub_standard_laps,2,28897,28.897,none,1.7046334743499756,2.3451573848724365,0.6405239105224609,2.024895429611206,True,train
110,12,6,old_sponsor,optimal_laps,0,27971,27.971,none,1.100811243057251,2.4422802925109863,1.3414690494537354,1.7715457677841187,True,train
112,12,8,old_sponsor,standard_laps,1,28432,28.432,none,1.529008388519287,2.4358537197113037,0.9068453311920166,1.9824310541152954,True,train
113,12,9,old_sponsor,standard_laps,1,28294,28.294,none,1.3910863399505615,2.345015048980713,0.9539287090301514,1.8680506944656372,True,train
114,12,10,old_sponsor,optimal_laps,0,27954,27.954,none,1.5470032691955566,2.1123170852661133,0.5653138160705566,1.829660177230835,True,train
115,13,1,old_sponsor,sub_standard_laps,2,29143,29.143,none,2.0748109817504883,2.171182870864868,0.09637188911437988,2.1229969263076782,True,train
116,13,2,old_sponsor,optimal_laps,0,28021,28.021,none,1.1826441287994385,2.2147839069366455,1.032139778137207,1.698714017868042,True,train
117,13,3,old_sponsor,sub_standard_laps,2,29015,29.015,none,1.6333818435668945,2.8785462379455566,1.245164394378662,2.2559640407562256,True,train
118,13,4,old_sponsor,optimal_laps,0,28051,28.051,none,1.0624206066131592,2.3667945861816406,1.3043739795684814,1.7146075963974,True,train
119,13,5,old_sponsor,standard_laps,1,28150,28.15,none,1.1936335563659668,2.2159438133239746,1.0223102569580078,1.7047886848449707,True,train
121,14,1,old_sponsor,standard_laps,1,28393,28.393,none,1.576850175857544,2.273770332336426,0.6969201564788818,1.9253102540969849,True,train
122,14,2,old_sponsor,optimal_laps,0,27850,27.85,none,1.14101243019104,2.1484947204589844,1.0074822902679443,1.6447535753250122,True,train
125,14,5,old_sponsor,standard_laps,1,28146,28.146,none,1.3300001621246338,2.503305435180664,1.1733052730560303,1.916652798652649,True,train
126,14,6,old_sponsor,optimal_laps,0,27910,27.91,none,1.1693177223205566,2.464219331741333,1.2949016094207764,1.8167685270309448,True,train
127,14,7,old_sponsor,optimal_laps,0,28069,28.069,none,1.1325936317443848,1.8859882354736328,0.753394603729248,1.5092909336090088,True,train
128,14,8,old_sponsor,optimal_laps,0,27703,27.703,none,0.8788406848907471,2.4251792430877686,1.5463385581970215,1.6520099639892578,True,train
130,14,10,old_sponsor,standard_laps,1,28125,28.125,none,1.56168532371521,2.4518327713012695,0.8901474475860596,2.0067590475082397,True,train
131,15,1,old_sponsor,optimal_laps,0,27978,27.978,none,1.3793318271636963,2.173051357269287,0.7937195301055908,1.7761915922164917,True,train
132,15,2,old_sponsor,standard_laps,1,28169,28.169,none,1.312878131866455,2.573983907699585,1.2611057758331299,1.94343101978302,True,train
133,15,3,old_sponsor,sub_standard_laps,2,28655,28.655,none,1.298229694366455,2.4715514183044434,1.1733217239379883,1.8848905563354492,True,train
134,15,4,old_sponsor,standard_laps,1,28504,28.504,none,1.6262493133544922,2.319459915161133,0.6932106018066406,1.9728546142578125,True,train
136,15,6,old_sponsor,standard_laps,1,28217,28.217,none,1.6334683895111084,1.970733642578125,0.3372652530670166,1.8021010160446167,True,train
138,16,1,old_sponsor,standard_laps,1,28283,28.283,none,1.4127933979034424,2.546724319458008,1.1339309215545654,1.979758858680725,True,train
139,16,2,old_sponsor,standard_laps,1,28204,28.204,none,1.2570841312408447,2.1665046215057373,0.9094204902648926,1.711794376373291,True,train
140,16,3,old_sponsor,optimal_laps,0,27705,27.705,none,1.078850269317627,2.2917776107788086,1.2129273414611816,1.6853139400482178,True,train
141,16,4,old_sponsor,standard_laps,1,28237,28.237,none,1.1318070888519287,2.7210161685943604,1.5892090797424316,1.9264116287231445,True,train
142,16,5,old_sponsor,optimal_laps,0,27677,27.677,none,1.1986594200134277,2.1110854148864746,0.9124259948730469,1.6548724174499512,True,train
145,16,8,old_sponsor,optimal_laps,0,28007,28.007,none,1.2905163764953613,2.1316115856170654,0.8410952091217041,1.7110639810562134,True,train
146,16,9,old_sponsor,standard_laps,1,28291,28.291,none,1.2589280605316162,2.5306875705718994,1.2717595100402832,1.8948078155517578,True,train
147,16,10,old_sponsor,optimal_laps,0,27734,27.734,none,1.0289306640625,2.149874687194824,1.1209440231323242,1.589402675628662,True,train
148,17,1,old_sponsor,optimal_laps,0,27673,27.673,none,1.135148286819458,1.8459382057189941,0.7107899188995361,1.490543246269226,True,train
149,17,2,old_sponsor,standard_laps,1,28294,28.294,none,1.084770917892456,1.9252712726593018,0.8405003547668457,1.505021095275879,True,train
150,17,3,old_sponsor,standard_laps,1,28207,28.207,none,1.129957914352417,2.5769708156585693,1.4470129013061523,1.8534643650054932,True,train
152,17,5,old_sponsor,standard_laps,1,28216,28.216,none,1.365225076675415,2.3408846855163574,0.9756596088409424,1.8530548810958862,True,train
153,17,6,old_sponsor,standard_laps,1,28327,28.327,none,1.597193956375122,2.3816933631896973,0.7844994068145752,1.9894436597824097,True,train
154,17,7,old_sponsor,optimal_laps,0,27759,27.759,none,1.1274709701538086,2.05104398727417,0.9235730171203613,1.5892574787139893,True,train
155,17,8,old_sponsor,optimal_laps,0,27473,27.473,none,1.0312378406524658,2.451707601547241,1.4204697608947754,1.7414727210998535,True,train
156,17,9,old_sponsor,sub_standard_laps,2,28644,28.644,none,2.0053577423095703,2.4931750297546387,0.48781728744506836,2.2492663860321045,True,train
157,17,10,old_sponsor,standard_laps,1,28116,28.116,none,1.192399024963379,1.9706494808197021,0.7782504558563232,1.5815242528915405,True,train
158,17,11,old_sponsor,standard_laps,1,28251,28.251,none,1.3031864166259766,2.5662388801574707,1.2630524635314941,1.9347126483917236,True,train
159,17,12,old_sponsor,standard_laps,1,28368,28.368,none,1.080779790878296,2.6297497749328613,1.5489699840545654,1.8552647829055786,True,train
160,17,13,old_sponsor,standard_laps,1,28106,28.106,none,1.1090903282165527,1.9718570709228516,0.8627667427062988,1.5404736995697021,True,train
161,17,14,old_sponsor,sub_standard_laps,2,28820,28.82,none,2.15435528755188,1.9005639553070068,-0.25379133224487305,2.0274596214294434,True,train
163,18,2,old_sponsor,standard_laps,1,28143,28.143,none,1.2327313423156738,2.3759639263153076,1.1432325839996338,1.8043476343154907,True,validation
165,18,4,old_sponsor,standard_laps,1,28145,28.145,none,1.3184525966644287,2.0848288536071777,0.766376256942749,1.7016407251358032,True,validation
166,18,5,old_sponsor,optimal_laps,0,28103,28.103,none,1.0970425605773926,2.484555721282959,1.3875131607055664,1.7907991409301758,True,validation
167,18,6,old_sponsor,standard_laps,1,28473,28.473,none,1.229271650314331,2.9703714847564697,1.7410998344421387,2.0998215675354004,True,validation
168,18,7,old_sponsor,standard_laps,1,28128,28.128,none,1.002866268157959,2.3822920322418213,1.3794257640838623,1.6925791501998901,True,validation
169,18,8,old_sponsor,optimal_laps,0,27750,27.75,none,1.2317121028900146,2.3537824153900146,1.1220703125,1.7927472591400146,True,validation
170,18,9,old_sponsor,optimal_laps,0,27864,27.864,none,1.1317269802093506,2.5305228233337402,1.3987958431243896,1.8311249017715454,True,validation
172,19,1,old_sponsor,standard_laps,1,28359,28.359,none,1.3337793350219727,2.538154125213623,1.2043747901916504,1.9359667301177979,True,validation
173,19,2,old_sponsor,standard_laps,1,28163,28.163,none,1.0815505981445312,2.5025687217712402,1.421018123626709,1.7920596599578857,True,validation
174,19,3,old_sponsor,standard_laps,1,28321,28.321,none,1.5845818519592285,2.2888429164886475,0.704261064529419,1.936712384223938,True,validation
175,19,4,old_sponsor,sub_standard_laps,2,29145,29.145,none,1.3701436519622803,3.089341402053833,1.7191977500915527,2.2297425270080566,True,validation
176,19,5,old_sponsor,optimal_laps,0,27903,27.903,none,1.081775426864624,2.4892141819000244,1.4074387550354004,1.7854948043823242,True,validation
178,19,7,old_sponsor,sub_standard_laps,2,28702,28.702,none,1.8785593509674072,1.964900016784668,0.08634066581726074,1.9217296838760376,True,validation
179,20,1,new_sponsor,sub_standard_laps,2,28650,28.65,none,1.671717882156372,2.6805176734924316,1.0087997913360596,2.176117777824402,True,validation
180,20,2,new_sponsor,standard_laps,1,28458,28.458,none,1.3937137126922607,2.2102086544036865,0.8164949417114258,1.8019611835479736,True,validation
181,20,3,new_sponsor,sub_standard_laps,2,28960,28.96,none,1.885143518447876,2.715078830718994,0.8299353122711182,2.300111174583435,True,validation
182,20,4,new_sponsor,standard_laps,1,28357,28.357,none,1.4554038047790527,2.6404166221618652,1.1850128173828125,2.047910213470459,True,validation
183,20,5,new_sponsor,optimal_laps,0,27951,27.951,none,1.3324203491210938,2.427729368209839,1.0953090190887451,1.8800748586654663,True,validation
184,20,6,new_sponsor,optimal_laps,0,27825,27.825,none,1.2578248977661133,2.6757559776306152,1.417931079864502,1.9667904376983643,True,validation
185,20,7,new_sponsor,optimal_laps,0,28007,28.007,none,1.145526647567749,2.372652769088745,1.227126121520996,1.759089708328247,True,validation
186,20,8,new_sponsor,standard_laps,1,28225,28.225,none,1.1306612491607666,2.4808003902435303,1.3501391410827637,1.8057308197021484,True,validation
187,20,9,new_sponsor,standard_laps,1,28275,28.275,none,1.2671089172363281,2.456205129623413,1.189096212387085,1.8616570234298706,True,validation
188,20,10,new_sponsor,sub_standard_laps,2,28797,28.797,none,1.204782485961914,2.7582132816314697,1.5534307956695557,1.981497883796692,True,validation
189,21,1,new_sponsor,standard_laps,1,28164,28.164,none,1.3031136989593506,1.9885492324829102,0.6854355335235596,1.6458314657211304,True,train
190,21,2,new_sponsor,standard_laps,1,28267,28.267,none,1.0937678813934326,2.34713077545166,1.2533628940582275,1.7204493284225464,True,train
191,21,3,new_sponsor,sub_standard_laps,2,29181,29.181,none,1.9040696620941162,2.0202112197875977,0.11614155769348145,1.962140440940857,True,train
192,21,4,new_sponsor,standard_laps,1,28394,28.394,none,1.8130121231079102,2.5484938621520996,0.7354817390441895,2.180752992630005,True,train
193,21,5,new_sponsor,standard_laps,1,28202,28.202,none,1.3331263065338135,2.552823305130005,1.2196969985961914,1.9429748058319092,True,train
194,21,6,new_sponsor,standard_laps,1,28188,28.188,none,1.5719232559204102,2.2647488117218018,0.6928255558013916,1.918336033821106,True,train
196,21,8,new_sponsor,optimal_laps,0,28062,28.062,none,1.554389238357544,2.588992118835449,1.0346028804779053,2.0716906785964966,True,train
197,21,9,new_sponsor,standard_laps,1,28504,28.504,none,1.875321865081787,2.3951878547668457,0.5198659896850586,2.1352548599243164,True,train
198,21,10,new_sponsor,sub_standard_laps,2,28648,28.648,none,1.9607179164886475,2.572036027908325,0.6113181114196777,2.2663769721984863,True,train
199,22,1,new_sponsor,optimal_laps,0,28018,28.018,none,1.229402780532837,2.5532338619232178,1.3238310813903809,1.8913183212280273,True,train
200,22,2,new_sponsor,standard_laps,1,28403,28.403,none,1.8903777599334717,2.46596097946167,0.5755832195281982,2.178169369697571,True,train
201,22,3,new_sponsor,standard_laps,1,28564,28.564,none,1.5870413780212402,2.4319896697998047,0.8449482917785645,2.0095155239105225,True,train
202,22,4,new_sponsor,standard_laps,1,28146,28.146,none,1.5934560298919678,2.4716577529907227,0.8782017230987549,2.032556891441345,True,train
203,22,5,new_sponsor,standard_laps,1,28190,28.19,none,1.4163479804992676,2.320727825164795,0.9043798446655273,1.8685379028320312,True,train
204,22,6,new_sponsor,optimal_laps,0,27834,27.834,none,1.1315715312957764,2.590843677520752,1.4592721462249756,1.8612076044082642,True,train
205,22,7,new_sponsor,standard_laps,1,28237,28.237,none,1.5880088806152344,2.369156837463379,0.7811479568481445,1.9785828590393066,True,train
206,22,8,new_sponsor,sub_standard_laps,2,28687,28.687,none,1.605426549911499,2.735373020172119,1.1299464702606201,2.170399785041809,True,train
207,22,9,new_sponsor,standard_laps,1,28437,28.437,none,1.7414557933807373,2.4673750400543213,0.725919246673584,2.1044154167175293,True,train
208,22,10,new_sponsor,sub_standard_laps,2,28952,28.952,none,1.9032089710235596,2.5597712993621826,0.656562328338623,2.231490135192871,True,train
209,22,11,new_sponsor,standard_laps,1,28415,28.415,none,1.4900100231170654,2.7089343070983887,1.2189242839813232,2.099472165107727,True,train
210,22,12,new_sponsor,standard_laps,1,28475,28.475,none,1.334216833114624,2.2954657077789307,0.9612488746643066,1.8148412704467773,True,train
211,23,1,new_sponsor,sub_standard_laps,2,28595,28.595,none,1.3855092525482178,2.775134801864624,1.3896255493164062,2.080322027206421,True,train
212,23,2,new_sponsor,standard_laps,1,28478,28.478,none,1.6400909423828125,2.2951948642730713,0.6551039218902588,1.967642903327942,True,train
213,23,3,new_sponsor,standard_laps,1,28300,28.3,none,1.5599353313446045,2.667314291000366,1.1073789596557617,2.1136248111724854,True,train
214,23,4,new_sponsor,sub_standard_laps,2,28898,28.898,none,1.7004587650299072,2.7553088665008545,1.0548501014709473,2.227883815765381,True,train
215,23,5,new_sponsor,standard_laps,1,28189,28.189,none,1.2710957527160645,2.26090931892395,0.9898135662078857,1.7660025358200073,True,train
216,23,6,new_sponsor,standard_laps,1,28129,28.129,none,1.5015475749969482,2.2987310886383057,0.7971835136413574,1.900139331817627,True,train
217,23,7,new_sponsor,optimal_laps,0,27695,27.695,none,1.4964873790740967,2.1202924251556396,0.623805046081543,1.8083899021148682,True,train
218,23,8,new_sponsor,standard_laps,1,28184,28.184,none,1.4669365882873535,2.6440556049346924,1.1771190166473389,2.055496096611023,True,train
219,23,9,new_sponsor,standard_laps,1,28338,28.338,none,1.689079761505127,2.5271549224853516,0.8380751609802246,2.1081173419952393,True,train
220,23,10,new_sponsor,standard_laps,1,28466,28.466,none,1.5137939453125,2.573014974594116,1.0592210292816162,2.043404459953308,True,train
221,23,11,new_sponsor,optimal_laps,0,28027,28.027,none,1.2320637702941895,2.170685052871704,0.9386212825775146,1.7013744115829468,True,train
222,23,12,new_sponsor,sub_standard_laps,2,28643,28.643,none,1.9274787902832031,2.1662251949310303,0.23874640464782715,2.0468519926071167,True,train
223,23,13,new_sponsor,optimal_laps,0,28013,28.013,none,1.1160311698913574,2.5233304500579834,1.407299280166626,1.8196808099746704,True,train
224,23,14,new_sponsor,optimal_laps,0,27717,27.717,none,0.974686861038208,2.4970080852508545,1.5223212242126465,1.7358474731445312,True,train
225,23,15,new_sponsor,standard_laps,1,28537,28.537,none,1.6087818145751953,2.438786745071411,0.8300049304962158,2.0237842798233032,True,train
226,24,1,new_sponsor,sub_standard_laps,2,29150,29.15,none,1.6723501682281494,2.88223934173584,1.2098891735076904,2.2772947549819946,True,train
227,24,2,new_sponsor,standard_laps,1,28334,28.334,none,1.6700439453125,2.3738913536071777,0.7038474082946777,2.021967649459839,True,train
228,24,3,new_sponsor,optimal_laps,0,27836,27.836,none,1.6488652229309082,2.1197574138641357,0.47089219093322754,1.884311318397522,True,train
229,24,4,new_sponsor,optimal_laps,0,28013,28.013,none,1.5915112495422363,2.4379634857177734,0.8464522361755371,2.014737367630005,True,train
230,24,5,new_sponsor,sub_standard_laps,2,28582,28.582,none,1.705556869506836,2.048035144805908,0.34247827529907227,1.876796007156372,True,train
231,24,6,new_sponsor,sub_standard_laps,2,28569,28.569,none,1.6020493507385254,2.2877655029296875,0.6857161521911621,1.9449074268341064,True,train
232,24,7,new_sponsor,optimal_laps,0,28079,28.079,none,1.6713957786560059,2.3913700580596924,0.7199742794036865,2.031382918357849,True,train
233,24,8,new_sponsor,standard_laps,1,28354,28.354,none,1.4910786151885986,2.784268379211426,1.2931897640228271,2.137673497200012,True,train
234,24,9,new_sponsor,optimal_laps,0,27924,27.924,none,1.2692794799804688,2.403383493423462,1.1341040134429932,1.8363314867019653,True,train
235,24,10,new_sponsor,optimal_laps,0,27939,27.939,none,1.1983094215393066,2.462691307067871,1.2643818855285645,1.8305003643035889,True,train
236,24,11,new_sponsor,standard_laps,1,28401,28.401,none,1.6282947063446045,2.14996600151062,0.5216712951660156,1.8891303539276123,True,train
237,24,12,new_sponsor,sub_standard_laps,2,28810,28.81,none,1.8924837112426758,2.247154951095581,0.3546712398529053,2.0698193311691284,True,train
238,24,13,new_sponsor,optimal_laps,0,27845,27.845,none,1.2890520095825195,2.515150547027588,1.2260985374450684,1.9021012783050537,True,train
239,24,14,new_sponsor,optimal_laps,0,27818,27.818,none,1.0730514526367188,2.4063990116119385,1.3333475589752197,1.7397252321243286,True,train
240,24,15,new_sponsor,optimal_laps,0,28013,28.013,none,1.5354046821594238,2.492844581604004,0.9574398994445801,2.014124631881714,True,train
241,25,1,new_sponsor,sub_standard_laps,2,28697,28.697,none,1.2385025024414062,2.766718864440918,1.5282163619995117,2.002610683441162,True,test
242,25,2,new_sponsor,optimal_laps,0,27983,27.983,none,1.2797019481658936,2.5599629878997803,1.2802610397338867,1.919832468032837,True,test
243,25,3,new_sponsor,optimal_laps,0,27545,27.545,none,1.1688475608825684,2.491518020629883,1.3226704597473145,1.8301827907562256,True,test
244,25,4,new_sponsor,sub_standard_laps,2,28849,28.849,none,1.2504067420959473,2.227822780609131,0.9774160385131836,1.739114761352539,True,test
245,25,5,new_sponsor,optimal_laps,0,28066,28.066,none,1.5032804012298584,2.4062910079956055,0.9030106067657471,1.954785704612732,True,test
247,25,7,new_sponsor,optimal_laps,0,28071,28.071,none,0.9866783618927002,2.4680395126342773,1.4813611507415771,1.7273589372634888,True,test
248,25,8,new_sponsor,standard_laps,1,28206,28.206,none,1.5978820323944092,2.705145835876465,1.1072638034820557,2.151513934135437,True,test
249,25,9,new_sponsor,optimal_laps,0,28007,28.007,none,1.335310697555542,2.3647818565368652,1.0294711589813232,1.8500462770462036,True,test
250,25,10,new_sponsor,standard_laps,1,28199,28.199,none,1.6127707958221436,2.454888343811035,0.8421175479888916,2.0338295698165894,True,test
251,25,11,new_sponsor,standard_laps,1,28374,28.374,none,1.547778844833374,2.373854398727417,0.826075553894043,1.9608166217803955,True,test
252,25,12,new_sponsor,optimal_laps,0,27804,27.804,none,1.2903401851654053,2.3374626636505127,1.0471224784851074,1.813901424407959,True,test
253,25,13,new_sponsor,sub_standard_laps,2,28628,28.628,none,1.790238618850708,2.3292956352233887,0.5390570163726807,2.0597671270370483,True,test
254,25,14,new_sponsor,standard_laps,1,28445,28.445,none,1.5268158912658691,2.6390583515167236,1.1122424602508545,2.0829371213912964,True,test
255,25,15,new_sponsor,optimal_laps,0,28092,28.092,none,1.560410499572754,2.179224967956543,0.6188144683837891,1.8698177337646484,True,test
