global_lap_num,session,session_lap_num,class_name,class_index,delta_1_seconds,delta_2_seconds,loso_predicted_class_index,loso_predicted_class_name,loso_probability_optimal,loso_probability_standard,loso_probability_sub_standard,correct
133,15,3,sub_standard_laps,2,1.298229694366455,2.471551418304444,1,standard_laps,0.2805400494048163,0.586628035897921,0.1328319146972627,False
134,15,4,standard_laps,1,1.6262493133544922,2.319459915161133,1,standard_laps,0.051324590837931554,0.4945984466699799,0.4540769624920887,True
136,15,6,standard_laps,1,1.6334683895111084,1.970733642578125,1,standard_laps,0.14434198356009045,0.6464041759437769,0.20925384049613263,True
138,16,1,standard_laps,1,1.4127933979034424,2.546724319458008,1,standard_laps,0.1305634855550398,0.5133508114196863,0.356085703025274,True
139,16,2,standard_laps,1,1.2570841312408447,2.1665046215057373,0,optimal_laps,0.5312201771352041,0.41979814258162035,0.04898168028317556,False
140,16,3,optimal_laps,0,1.078850269317627,2.2917776107788086,0,optimal_laps,0.7142207064969773,0.26662930736059703,0.01914998614242551,True
141,16,4,standard_laps,1,1.1318070888519287,2.7210161685943604,1,standard_laps,0.39980882311862637,0.4607411384467447,0.13945003843462903,True
142,16,5,optimal_laps,0,1.1986594200134275,2.1110854148864746,0,optimal_laps,0.6444890140769771,0.3303554562365706,0.025155529686452238,True
145,16,8,optimal_laps,0,1.290516376495361,2.131611585617065,0,optimal_laps,0.5000232865902527,0.4448904351713964,0.05508627823835089,True
146,16,9,standard_laps,1,1.2589280605316162,2.5306875705718994,1,standard_laps,0.3184176225661994,0.5150704014300278,0.16651197600377277,True
147,16,10,optimal_laps,0,1.0289306640625,2.149874687194824,0,optimal_laps,0.8177036386714533,0.1755605196564493,0.0067358416720973615,True
148,17,1,optimal_laps,0,1.135148286819458,1.845938205718994,0,optimal_laps,0.8660399143443446,0.130022534711804,0.0039375509438512556,True
149,17,2,standard_laps,1,1.084770917892456,1.925271272659301,0,optimal_laps,0.8811633747492889,0.11527506972363584,0.0035615555270752173,False
150,17,3,standard_laps,1,1.129957914352417,2.5769708156585693,0,optimal_laps,0.5094964433828129,0.39234803335255997,0.09815552326462722,False
152,17,5,standard_laps,1,1.365225076675415,2.3408846855163574,1,standard_laps,0.2730788589793942,0.5435871925541416,0.18333394846646428,True
153,17,6,standard_laps,1,1.597193956375122,2.3816933631896973,2,sub_standard_laps,0.049966291686880375,0.47358260147575654,0.476451106837363,False
154,17,7,optimal_laps,0,1.1274709701538086,2.05104398727417,0,optimal_laps,0.8061026020073471,0.18407639138526585,0.009821006607387038,True
155,17,8,optimal_laps,0,1.0312378406524658,2.451707601547241,0,optimal_laps,0.743261208748896,0.2303244915274015,0.026414299723702413,True
156,17,9,sub_standard_laps,2,2.0053577423095703,2.4931750297546387,2,sub_standard_laps,0.0007082925339949267,0.11448912086038177,0.8848025866056233,True
157,17,10,optimal_laps,0,1.192399024963379,1.970649480819702,0,optimal_laps,0.7677408667174229,0.22006380464804087,0.012195328634536236,True
158,17,11,standard_laps,1,1.3031864166259766,2.5662388801574707,1,standard_laps,0.2285149260602726,0.5137292340188815,0.25775583992084594,True
159,17,12,standard_laps,1,1.080779790878296,2.6297497749328613,0,optimal_laps,0.5594568116771111,0.35602459392797975,0.08451859439490918,False
160,17,13,optimal_laps,0,1.1090903282165527,1.971857070922852,0,optimal_laps,0.8500946526193075,0.14425072159869193,0.005654625782000565,True
161,17,14,sub_standard_laps,2,2.15435528755188,1.9005639553070068,2,sub_standard_laps,0.00260833922620979,0.2799663928281928,0.7174252679455974,True
163,18,2,optimal_laps,0,1.2327313423156738,2.375963926315308,1,standard_laps,0.42626474506182266,0.48416630557352325,0.08956894936465411,False
165,18,4,standard_laps,1,1.3184525966644287,2.0848288536071777,0,optimal_laps,0.523037035374266,0.4248748232356344,0.05208814139009944,False
166,18,5,optimal_laps,0,1.0970425605773926,2.484555721282959,0,optimal_laps,0.5541226013681001,0.3939122490068078,0.05196514962509197,True
167,18,6,standard_laps,1,1.229271650314331,2.9703714847564697,1,standard_laps,0.07799135533074501,0.46889414017691716,0.45311450449233787,True
168,18,7,optimal_laps,0,1.002866268157959,2.3822920322418213,0,optimal_laps,0.7519432554151253,0.233279949038302,0.014776795546572642,True
169,18,8,optimal_laps,0,1.2317121028900146,2.353782415390014,1,standard_laps,0.4456751910034742,0.4725765189128074,0.08174829008371834,False
170,18,9,optimal_laps,0,1.1317269802093506,2.53052282333374,0,optimal_laps,0.46242657162394024,0.45676178407450824,0.08081164430155158,True
172,19,1,standard_laps,1,1.3337793350219729,2.538154125213623,1,standard_laps,0.18917842535147864,0.5588114655934714,0.25201010905505,True
173,19,2,standard_laps,1,1.0815505981445312,2.50256872177124,0,optimal_laps,0.5861454075120446,0.36658632264747476,0.04726826984048081,False
174,19,3,standard_laps,1,1.5845818519592283,2.2888429164886475,1,standard_laps,0.08091962729386173,0.5487462487563113,0.370334123949827,True
175,19,4,sub_standard_laps,2,1.3701436519622805,3.089341402053833,2,sub_standard_laps,0.018231200155393763,0.2642530853003288,0.7175157145442774,True
176,19,5,optimal_laps,0,1.081775426864624,2.4892141819000244,0,optimal_laps,0.594957004853196,0.3603342376276059,0.04470875751919801,True
178,19,7,sub_standard_laps,2,1.8785593509674072,1.964900016784668,1,standard_laps,0.029459309751483573,0.4887888943983686,0.4817517958501477,False
